名称,分类,地区,百度百科链接,新官方链接,链接类型,备注
奇琴伊察金字塔,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
图卢姆古城,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
帕伦克古城,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
乌斯马尔古城,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
墨西哥城历史中心,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
索奇米尔科,世界遗产,国际-墨西哥,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
马丘比丘,世界遗产,国际-秘鲁,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
库斯科古城,世界遗产,国际-秘鲁,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
昌昌古城,世界遗产,国际-秘鲁,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
利马历史中心,世界遗产,国际-秘鲁,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
里约热内卢基督像,世界遗产,国际-巴西,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
伊瓜苏国家公园,世界遗产,国际-巴西,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
巴西利亚,世界遗产,国际-巴西,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
莫雷诺冰川,世界遗产,国际-阿根廷,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
复活节岛,世界遗产,国际-智利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
奇洛埃岛,世界遗产,国际-智利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
基多古城,世界遗产,国际-厄瓜多尔,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
加拉帕戈斯群岛,世界遗产,国际-厄瓜多尔,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
蒂亚瓦纳科,世界遗产,国际-玻利维亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
波托西城,世界遗产,国际-玻利维亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
昆曲,非物质文化遗产,国内-江苏,http://www.ihchina.cn/project_details/14701/,中国非物质文化遗产网,国家级非遗官方介绍页,
京剧,非物质文化遗产,国内-北京,http://www.ihchina.cn/project_details/14728/,中国非物质文化遗产网,国家级非遗官方介绍页,
豫剧,非物质文化遗产,国内-河南,http://www.ihchina.cn/project_details/14723/,中国非物质文化遗产网,国家级非遗官方介绍页,
越剧,非物质文化遗产,国内-浙江,http://www.ihchina.cn/project_details/14753/,中国非物质文化遗产网,国家级非遗官方介绍页,
黄梅戏,非物质文化遗产,国内-安徽,http://www.ihchina.cn/project_details/14760/,中国非物质文化遗产网,国家级非遗官方介绍页,
评剧,非物质文化遗产,国内-河北,http://www.ihchina.cn/project_details/14724/,中国非物质文化遗产网,国家级非遗官方介绍页,
河北梆子,非物质文化遗产,国内-河北,http://www.ihchina.cn/project_details/14725/,中国非物质文化遗产网,国家级非遗官方介绍页,
晋剧,非物质文化遗产,国内-山西,http://www.ihchina.cn/project_details/14726/,中国非物质文化遗产网,国家级非遗官方介绍页,
沪剧,非物质文化遗产,国内-上海,http://www.ihchina.cn/project_details/14754/,中国非物质文化遗产网,国家级非遗官方介绍页,
川剧,非物质文化遗产,国内-四川,http://www.ihchina.cn/project_details/14755/,中国非物质文化遗产网,国家级非遗官方介绍页,
粤剧,非物质文化遗产,国内-广东,http://www.ihchina.cn/project_details/14756/,中国非物质文化遗产网,国家级非遗官方介绍页,
藏戏,非物质文化遗产,国内-西藏,http://www.ihchina.cn/project_details/14757/,中国非物质文化遗产网,国家级非遗官方介绍页,
秦腔,非物质文化遗产,国内-陕西,http://www.ihchina.cn/project_details/14727/,中国非物质文化遗产网,国家级非遗官方介绍页,
闽剧,非物质文化遗产,国内-福建,http://www.ihchina.cn/project_details/14758/,中国非物质文化遗产网,国家级非遗官方介绍页,
徽剧,非物质文化遗产,国内-安徽,http://www.ihchina.cn/project_details/14759/,中国非物质文化遗产网,国家级非遗官方介绍页,
湘剧,非物质文化遗产,国内-湖南,http://www.ihchina.cn/project_details/14761/,中国非物质文化遗产网,国家级非遗官方介绍页,
赣剧,非物质文化遗产,国内-江西,http://www.ihchina.cn/project_details/14762/,中国非物质文化遗产网,国家级非遗官方介绍页,
汉剧,非物质文化遗产,国内-湖北,http://www.ihchina.cn/project_details/14763/,中国非物质文化遗产网,国家级非遗官方介绍页,
曲剧,非物质文化遗产,国内-河南,http://www.ihchina.cn/project_details/14764/,中国非物质文化遗产网,国家级非遗官方介绍页,
景泰蓝制作技艺,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
景德镇手工制瓷技艺,非物质文化遗产,国内-江西,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
龙泉青瓷烧制技艺,非物质文化遗产,国内-浙江,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
宜兴紫砂陶制作技艺,非物质文化遗产,国内-江苏,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国篆刻,非物质文化遗产,国内-浙江,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国剪纸,非物质文化遗产,国内-陕西,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国书法,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国国画,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
古琴艺术,非物质文化遗产,国内-江苏,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
宣纸制作技艺,非物质文化遗产,国内-安徽,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
雕版印刷技艺,非物质文化遗产,国内-江苏,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国传统桑蚕丝织技艺,非物质文化遗产,国内-浙江,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
南京云锦木机妆花手工织造技艺,非物质文化遗产,国内-江苏,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
苏绣,非物质文化遗产,国内-江苏,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
湘绣,非物质文化遗产,国内-湖南,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
蜀绣,非物质文化遗产,国内-四川,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
粤绣,非物质文化遗产,国内-广东,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国木拱桥传统营造技艺,非物质文化遗产,国内-福建,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国木雕艺术,非物质文化遗产,国内-浙江,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国石雕艺术,非物质文化遗产,国内-福建,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国玉雕艺术,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
漆器髹饰技艺,非物质文化遗产,国内-四川,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中国针灸,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中医诊疗法,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中药炮制技术,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中医传统制剂方法,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
针灸,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
拔罐,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
端午节,非物质文化遗产,国内-湖北,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中秋节,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
春节,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
清明节,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
元宵节,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
二十四节气,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
妈祖信俗,非物质文化遗产,国内-福建,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
黄帝陵祭典,非物质文化遗产,国内-陕西,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
中医针灸,非物质文化遗产,国内-北京,http://www.ihchina.cn,中国非物质文化遗产网(官网),中国非物质文化遗产官方网站，可搜索具体项目,
金字塔,世界遗产,国际-埃及,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卢克索神庙,世界遗产,国际-埃及,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿布辛贝神庙,世界遗产,国际-埃及,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
津巴布韦遗址,世界遗产,国际-津巴布韦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
塞舌尔群岛,世界遗产,国际-塞舌尔,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
悉尼歌剧院,世界遗产,国际-澳大利亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
大堡礁,世界遗产,国际-澳大利亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卡卡杜国家公园,世界遗产,国际-澳大利亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
昆士兰湿热带地区,世界遗产,国际-澳大利亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
塔斯马尼亚荒原,世界遗产,国际-澳大利亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
新西兰峡湾国家公园,世界遗产,国际-新西兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
汤加里罗国家公园,世界遗产,国际-新西兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
复活节岛石像,世界遗产,国际-智利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
